Nemoscolus obscurus
Nemoscolus sp.
Nemoscolus tubicola
Neoscona blondeli
Neoscona moreli
Neoscona rufipalpis
Neoscona sp.
Neoscona subfusca
Neoscona theisi
Neoscona triangula
Olorunia punctata
Olorunia sp.
Pararaneus cyrtoscapus
Pararaneus sp.
Pararaneus spectator
Pisenor notius
Poltys furcifer
Poltys sp.
Pronous sp.
Pseudauximus sp.
Pycnacantha sp.
Pycnacantha tribulus
Rastellus florisbad
Rastellus sp.
Singa lawrencei
Singa sp.
Sipalolasma humicola
BERGERANTHUS VESPERTINUS
Delosperma ashtonii
Delosperma cooperi
Delosperma davyi
Delosperma herbeum
Delosperma mahonii
DELOSPERMA SP.
Trianthema parvifolia
Accipiter badius
Accipiter melanoleucus
Accipiter minullus
Accipiter ovampensis
Accipiter tachiro
Acrocephalus arundinaceus
Acrocephalus baeticatus
Acrocephalus gracilirostris
Acrocephalus palustris
Acrocephalus schoenobaenus
Actitis hypoleucos
Actophilornis africanus
Aenigmatolimnas marginalis
Alcedo cristata
Alcedo semitorquata
Amadina fasciata
Amandava subflava
Amaurornis flavirostra
Amblyospiza albifrons
Anaplectes rubriceps
Anas capensis
Anas erythrorhyncha
Anas hottentota
Anas platyrhynchos
Anas smithii
Anas sparsa
Anas undulata
Andropadus importunus
Anomalospiza imberbis
Anthoscopus caroli
Anthoscopus minutus
Anthropoides paradiseus
Anthus caffer
Anthus leucophrys
Anthus lineiventris
Anthus similis
Anthus trivialis
Anthus vaalensis
Apalis flavida
Apalis thoracica
Apaloderma narina
Columba larvata
Apus apus
Apus barbatus
Aquila ayresii
Aquila nipalensis
Hieraaetus pennatus
Aquila pomarina
Aquila rapax
Aquila spilogaster
Aquila verreauxii
Ardea goliath
Ardea purpurea
Ardeola ralloides
Ardeola rufiventris
Ardeotis kori
Arenaria interpres
Asio capensis
Aviceda cuculoides
Batis capensis
Botaurus stellaris
Bradornis infuscatus
Bradornis pallidus
Bradypterus baboecala
Bubalornis niger
Bubo capensis
Bubo lacteus
Bucorvus leadbeateri
Burhinus capensis
Burhinus vermiculatus
Buteo rufofuscus
Buteo trizonatus
Buteo vulpinus
Butorides striata
Calandrella cinerea
Calendulauda africanoides
Calidris ferruginea
Calidris minuta
Campephaga flava
Campethera abingoni
Campethera bennettii
Caprimulgus europaeus
Caprimulgus fossii
Caprimulgus pectoralis
Caprimulgus rufigena
Caprimulgus tristigma
Erythropygia coryphoeus
Erythropygia paena
Certhilauda chuana
Chalcomitra senegalensis
Charadrius asiaticus
Charadrius hiaticula
Charadrius marginatus
Charadrius pecuarius
Chersomanes albofasciata
Chlidonias hybrida
Chlidonias leucopterus
Chlorocichla flaviventris
Chrysococcyx caprius
Chrysococcyx klaas
Ciconia abdimii
Ciconia episcopus
Ciconia nigra
Cinnyris afer
Cinnyris chalybeus
Cinnyris mariquensis
Circaetus cinereus
Circaetus pectoralis
Circus aeruginosus
Circus macrourus
Circus pygargus
Circus ranivorus
Cisticola aberrans
Cisticola aridulus
Cisticola ayresii
Cisticola erythrops
Cisticola juncidis
Cisticola lais
Cisticola natalensis
Cisticola rufilatus
Cisticola textrix
Cisticola tinniens
Clamator glandarius
Clamator jacobinus
Clamator levaillantii
Coccopygia melanotis
Colius colius
